rank_order,rank,name,scores_overall,scores_overall_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
25,25,Northwestern University,79.5,25,96.5,30,81.2,83,53.9,299,78.4,28,69.8,32,United States,"18,334",13.8,15%,48 : 52,Northwestern University,"Computer Science,Geography,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Civil Engineering,Sociology,Education,General Engineering,History, Philosophy & Theology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Other Health",False,False
30,30,New York University,77.2,30,95.3,38,30.4,629,49.3,350,72.3,43,74.7,25,United States,"42,056",6.8,19%,55 : 45,New York University,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Law,Art, Performing Arts & Design,Business & Management,Chemical Engineering,General Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Psychology,Civil Engineering,Chemistry,History, Philosophy & Theology",False,False
32,32,University of Washington,75.6,32,98.6,18,43.1,305,51.2,329,70.0,47,67.1,36,United States,"44,020",11.8,13%,53 : 47,University of Washington,"Psychology,History, Philosophy & Theology,Other Health,Chemistry,Languages, Literature & Linguistics,General Engineering,Chemical Engineering,Physics & Astronomy,Agriculture & Forestry,Computer Science,Biological Sciences,Archaeology,Education,Veterinary Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Law,Geography",False,False
36,36,University of Illinois at Urbana-Champaign,74.5,36,86.8,90,52.8,208,45.8,399,81.2,25,64.5,41,United States,"42,727",18.7,20%,47 : 53,University of Illinois at Urbana-Champaign,"Art, Performing Arts & Design,Computer Science,Archaeology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Business & Management,Geography,History, Philosophy & Theology,Other Health,Sport Science,Psychology,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Civil Engineering,Veterinary Science,Biological Sciences,Physics & Astronomy",False,False
39, =39,"University of California, San Diego",72.2,39,98.7,16,56.7,189,42.9,428,69.8,48,56.9,60,United States,"27,233",6.5,11%,48 : 52,"University of California, San Diego","Other Health,Computer Science,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Sociology,History, Philosophy & Theology,Education,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Civil Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False
40, =39,"University of California, Santa Barbara",72.2,40,99.2,10,90.4,56,61.5,236,66.0,59,52.6,72,United States,"22,020",27.3,11%,52 : 48,"University of California, Santa Barbara","Archaeology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Veterinary Science,Geography,Chemical Engineering,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Education,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Chemistry,Agriculture & Forestry,Economics & Econometrics,Electrical & Electronic Engineering,Psychology,Sociology",False,False
41,41,Georgia Institute of Technology,72.1,41,86.0,97,73.7,107,71.5,166,72.7,41,57.8,59,United States,"19,967",20.1,26%,31 : 69,Georgia Institute of Technology,"Architecture,Computer Science,Business & Management,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Languages, Literature & Linguistics,Sociology,Accounting & Finance,Geography,Psychology,Art, Performing Arts & Design,Mathematics & Statistics",False,False
44, =44,"University of California, Davis",71.0,44,84.3,118,57.3,185,58.4,257,72.7,40,60.1,52,United States,"35,364",13.9,13%,54 : 46,"University of California, Davis","Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,History, Philosophy & Theology,Psychology,General Engineering,Law,Civil Engineering,Geography,Physics & Astronomy,Chemistry,Sociology,Veterinary Science,Economics & Econometrics,Other Health,Biological Sciences,Computer Science,Accounting & Finance,Education,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Languages, Literature & Linguistics",False,False
46,46,University of Texas at Austin,70.3,46,92.2,54,63.1,151,31.7,564,69.7,49,59.3,54,United States,"49,427",17.4,9%,51 : 49,University of Texas at Austin,"Architecture,Business & Management,Law,Communication & Media Studies,Biological Sciences,Economics & Econometrics,Psychology,Education,Sport Science,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Archaeology,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry",False,False
50,50,University of Wisconsin-Madison,69.7,50,86.6,93,48.5,243,33.0,547,68.2,53,65.1,39,United States,"39,655",10.8,11%,51 : 49,University of Wisconsin-Madison,"Sport Science,Geography,Civil Engineering,Computer Science,Psychology,Physics & Astronomy,Medicine & Dentistry,Agriculture & Forestry,Accounting & Finance,Law,Art, Performing Arts & Design,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,History, Philosophy & Theology,Veterinary Science,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Chemistry,Architecture,Chemical Engineering,Communication & Media Studies,Electrical & Electronic Engineering",False,False
51,51,Brown University,69.6,51,96.4,31,31.4,589,57.8,266,55.7,80,62.8,44,United States,"8,653",10.1,19%,,Brown University,"Chemistry,Archaeology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Psychology,Computer Science,Other Health,History, Philosophy & Theology,Sociology,Electrical & Electronic Engineering,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Architecture,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Education",False,False
61, =60,Washington University in St Louis,67.0,61,99.2,12,33.5,514,44.9,408,55.6,82,54.3,65,United States,"12,528",5.7,17%,0 : 100,Washington University in St Louis,"General Engineering,Languages, Literature & Linguistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Biological Sciences,Chemistry,Education,Architecture,Communication & Media Studies,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Sociology,Chemical Engineering,Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Other Health,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy",False,False
63,63,University of North Carolina at Chapel Hill,66.4,63,95.9,35,39.4,377,39.0,471,54.5,86,58.0,56,United States,"26,518",7.3,8%,58 : 42,University of North Carolina at Chapel Hill,"Law,Chemistry,Communication & Media Studies,Archaeology,Education,Accounting & Finance,Biological Sciences,Psychology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Other Health,Art, Performing Arts & Design,Sociology,Languages, Literature & Linguistics,General Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Business & Management,Architecture,Geography,Sport Science,Agriculture & Forestry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Physics & Astronomy",False,False
64,64,Boston University,66.1,64,97.7,22,30.3,633,51.0,330,49.5,102,57.8,58,United States,"24,789",8.6,17%,58 : 42,Boston University,"Sociology,Medicine & Dentistry,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Geography,Other Health,History, Philosophy & Theology,Psychology,Biological Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Education,Mathematics & Statistics,Law,Chemistry,Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics",False,False
66, =65,University of Minnesota,65.9,66,88.0,79,98.5,36,35.3,517,61.0,68,53.5,69,United States,"46,825",18.0,12%,52 : 48,University of Minnesota,"Veterinary Science,Business & Management,Psychology,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),Geography,Mathematics & Statistics,Sociology,Agriculture & Forestry,Law,Biological Sciences,Chemistry,Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Sport Science,Computer Science,History, Philosophy & Theology,Economics & Econometrics,Chemical Engineering,Other Health,Accounting & Finance,Architecture,Communication & Media Studies,Education,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",False,False
68,68,University of Southern California,65.5,68,93.0,48,38.0,400,56.3,278,58.9,73,49.3,92,United States,"36,534",12.9,20%,52 : 48,University of Southern California,"Accounting & Finance,General Engineering,Biological Sciences,Computer Science,Law,Geography,Other Health,Physics & Astronomy,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Economics & Econometrics,Agriculture & Forestry,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),Archaeology,Medicine & Dentistry,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Sociology,Psychology",False,False
75,75,Penn State (Main campus),62.3,75,80.5,155,56.2,192,40.8,444,61.9,66,50.4,83,United States,"44,501",12.4,12%,46 : 54,Penn State (Main campus),"Business & Management,General Engineering,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Sport Science,Medicine & Dentistry,Agriculture & Forestry,Geography,Education,Veterinary Science,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Sociology,Archaeology,Other Health,Biological Sciences,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Psychology",False,False
79,79,University of Pittsburgh-Pittsburgh campus,61.5,79,92.3,52,39.3,378,33.9,535,50.3,101,50.6,81,United States,"26,485",5.8,10%,51 : 49,University of Pittsburgh-Pittsburgh campus,"Mathematics & Statistics,Physics & Astronomy,Law,Other Health,Biological Sciences,Computer Science,Art, Performing Arts & Design,Education,Geography,Communication & Media Studies,Architecture,Accounting & Finance,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Civil Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",False,False
87,87,Vanderbilt University,60.1,87,95.7,36,63.2,150,29.1,602,44.2,139,47.8,102,United States,"12,161",3.6,9%,52 : 48,Vanderbilt University,"Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,General Engineering,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Law,Chemical Engineering,Mathematics & Statistics,Computer Science,Archaeology,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Sociology,Civil Engineering,Accounting & Finance,Other Health,Chemistry",False,False
90, =90,Emory University,59.7,90,96.7,28,48.9,241,51.0,331,37.1,188,48.3,97,United States,"12,338",4.5,18%,56 : 44,Emory University,"Law,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Biological Sciences,Business & Management,Chemistry,Computer Science,Psychology,Economics & Econometrics,Communication & Media Studies,General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics",False,False
92, =90,Ohio State University (Main campus),59.7,92,83.2,128,53.1,206,53.0,311,46.6,121,51.6,78,United States,"51,462",13.4,12%,49 : 51,Ohio State University (Main campus),"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Sport Science,Chemistry,Geography,History, Philosophy & Theology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Civil Engineering,Psychology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Architecture,Computer Science,Veterinary Science,Business & Management,Law,Archaeology,Sociology",False,False
95, =94,Georgetown University,58.8,95,82.5,135,80.7,84,52.7,316,39.3,172,54.4,63,United States,"15,408",8.5,14%,53 : 47,Georgetown University,"Law,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Architecture,Communication & Media Studies,Biological Sciences,Medicine & Dentistry,Sport Science,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Physics & Astronomy,Business & Management,Mathematics & Statistics,General Engineering,Sociology,Computer Science,Psychology",False,False
100, =99,Michigan State University,58.0,100,76.8,183,32.2,559,56.4,277,52.6,92,47.3,107,United States,"44,750",15.7,15%,51 : 49,Michigan State University,"Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Chemical Engineering,Business & Management,Architecture,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sport Science,General Engineering,Geography,Communication & Media Studies,Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,Mathematics & Statistics,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Other Health,Archaeology,Physics & Astronomy,Agriculture & Forestry,History, Philosophy & Theology",False,False
103, =101,Rice University,57.9,103,99.7,8,41.7,336,66.6,194,35.1,211,37.9,195,United States,"6,333",9.0,26%,44 : 56,Rice University,"Sociology,Business & Management,Computer Science,Sport Science,Architecture,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Other Health,Physics & Astronomy,History, Philosophy & Theology,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Education,Mathematics & Statistics,Chemistry,Chemical Engineering",False,False
105, =104,Dartmouth College,57.8,105,93.3,46,40.8,350,38.3,479,35.8,198,50.7,80,United States,"6,178",6.6,16%,47 : 53,Dartmouth College,"Physics & Astronomy,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Geography,Other Health,Art, Performing Arts & Design,Archaeology,Computer Science,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,General Engineering,Biological Sciences,Civil Engineering,Psychology,Chemistry,Politics & International Studies (incl Development Studies)",False,False
