rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,city,state,zip,county,latitude,longitude
200,20,Northwestern University,83.7,200,75.8,25,85.0,22,97.0,30,85.8,58,56.1,325,United States,"18,570",14.0,16%,48 : 52,Northwestern University,"Computer Science,Geography,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Civil Engineering,Sociology,Education,General Engineering,History, Philosophy & Theology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Other Health",False,False,Evanston,IL,60208,Cook,42.058377,-87.673653
210,21,University of Michigan-Ann Arbor,83.6,210,79.4,20,86.1,21,95.8,41,43.9,353,54.6,350,United States,"41,912",8.8,16%,48 : 52,University of Michigan-Ann Arbor,"Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Psychology,Sociology,Law,Computer Science,Chemical Engineering,Other Health,Archaeology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Medicine & Dentistry,Education,Accounting & Finance,Biological Sciences,Sport Science,Business & Management,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences",False,False,Ann Arbor,MI,48109,Washtenaw,42.27803,-83.736564
230,23,Carnegie Mellon University,81.8,230,70.2,31,84.0,24,99.3,9,51.8,224,59.6,292,United States,"12,311",13.2,38%,38 : 62,Carnegie Mellon University,"Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Chemistry,Physics & Astronomy,Psychology,Architecture",False,False,Pittsburgh,PA,15213,Allegheny,40.443598,-79.943485
320,32,New York University,76.7,320,75.1,27,68.8,49,95.3,43,33.6,773,54.3,356,United States,"43,021",6.6,25%,55 : 45,New York University,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Law,Art, Performing Arts & Design,Business & Management,Chemical Engineering,General Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Psychology,Civil Engineering,Chemistry,History, Philosophy & Theology",False,False,New York,NY,10012,New York,40.729452,-73.997264
370,=36,University of Illinois at Urbana-Champaign,75.9,370,65.6,41,81.4,25,89.3,89,50.3,241,49.7,406,United States,"43,202",18.3,22%,46 : 54,University of Illinois at Urbana-Champaign,"Art, Performing Arts & Design,Computer Science,Archaeology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Business & Management,Geography,History, Philosophy & Theology,Other Health,Sport Science,Psychology,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Civil Engineering,Veterinary Science,Biological Sciences,Physics & Astronomy",False,False,Champaign,IL,61820,Champaign,40.108312,-88.228482
450,45,University of Wisconsin-Madison,72.6,450,68.2,35,71.4,41,87.9,99,47.4,286,42.0,515,United States,"40,048",11.0,12%,51 : 49,University of Wisconsin-Madison,"Sport Science,Geography,Civil Engineering,Computer Science,Psychology,Physics & Astronomy,Medicine & Dentistry,Agriculture & Forestry,Accounting & Finance,Law,Art, Performing Arts & Design,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,History, Philosophy & Theology,Veterinary Science,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Chemistry,Architecture,Chemical Engineering,Communication & Media Studies,Electrical & Electronic Engineering",False,False,Madison,WI,53706,Dane,43.073858,-89.405356
510,=51,Brown University,70.4,510,66.3,40,54.4,86,96.7,32,33.9,751,58.0,308,United States,"8,694",10.2,20%,,Brown University,"Chemistry,Archaeology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Psychology,Computer Science,Other Health,History, Philosophy & Theology,Sociology,Electrical & Electronic Engineering,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Architecture,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Education",False,False,Providence,RI,02912,Providence,41.826853,-71.402925
560,56,University of North Carolina at Chapel Hill,69.3,560,61.9,47,59.6,71,96.1,38,41.0,424,40.0,551,United States,"26,412",7.5,8%,57 : 43,University of North Carolina at Chapel Hill,"Law,Chemistry,Communication & Media Studies,Archaeology,Education,Accounting & Finance,Biological Sciences,Psychology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Other Health,Art, Performing Arts & Design,Sociology,Languages, Literature & Linguistics,General Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Business & Management,Architecture,Geography,Sport Science,Agriculture & Forestry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Physics & Astronomy",False,False,Chapel Hill,NC,27599,Orange,35.912165,-79.050969
580,=57,Washington University in St Louis,69.2,580,60.7,54,56.2,82,99.1,16,36.9,582,45.5,465,United States,"12,528",5.7,17%,,Washington University in St Louis,"General Engineering,Languages, Literature & Linguistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Biological Sciences,Chemistry,Education,Architecture,Communication & Media Studies,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Sociology,Chemical Engineering,Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Other Health,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy",False,False,Saint Louis,MO,63130,St. Louis,38.648125,-90.311639
610,=60,University of Southern California,67.2,610,50.5,94,60.0,70,94.7,45,39.4,477,62.7,268,United States,"38,466",13.6,23%,52 : 48,University of Southern California,"Accounting & Finance,General Engineering,Biological Sciences,Computer Science,Law,Geography,Other Health,Physics & Astronomy,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Economics & Econometrics,Agriculture & Forestry,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),Archaeology,Medicine & Dentistry,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Sociology,Psychology",False,False,Los Angeles,CA,90089,Los Angeles,34.021058,-118.283858
640,64,Boston University,66.9,640,60.2,56,48.5,114,97.7,25,34.4,722,54.6,348,United States,"24,714",8.4,19%,59 : 41,Boston University,"Sociology,Medicine & Dentistry,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Geography,Other Health,History, Philosophy & Theology,Psychology,Biological Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Education,Mathematics & Statistics,Law,Chemistry,Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics",False,False,Boston,MA,02215,Suffolk,42.349581,-71.09984
820,=82,Dartmouth College,62.0,820,58.6,58,41.1,160,94.2,47,39.9,459,37.9,579,United States,"6,109",6.7,15%,47 : 53,Dartmouth College,"Physics & Astronomy,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Geography,Other Health,Art, Performing Arts & Design,Archaeology,Computer Science,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,General Engineering,Biological Sciences,Civil Engineering,Psychology,Chemistry,Politics & International Studies (incl Development Studies)",False,False,Hanover,NH,03755,Grafton,43.705524,-72.288842
830,=82,Emory University,62.0,830,52.9,80,39.7,179,97.4,27,43.2,367,52.7,365,United States,"12,649",4.4,19%,57 : 43,Emory University,"Law,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Biological Sciences,Business & Management,Chemistry,Computer Science,Psychology,Economics & Econometrics,Communication & Media Studies,General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics",False,False,Atlanta,GA,30322,DeKalb,33.798836,-84.325782
870,87,Rice University,61.7,870,46.9,119,38.7,189,99.1,15,43.4,362,69.5,210,United States,"6,447",9.0,27%,43 : 57,Rice University,"Sociology,Business & Management,Computer Science,Sport Science,Architecture,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Other Health,Physics & Astronomy,History, Philosophy & Theology,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Education,Mathematics & Statistics,Chemistry,Chemical Engineering",False,False,Houston,TX,77005,Harris,29.716218,-95.404977
1010,101,Michigan State University,59.9,1010,51.6,89,48.9,111,81.1,171,38.5,507,58.8,303,United States,"45,297",15.8,16%,51 : 49,Michigan State University,"Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Chemical Engineering,Business & Management,Architecture,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sport Science,General Engineering,Geography,Communication & Media Studies,Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,Mathematics & Statistics,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Other Health,Archaeology,Physics & Astronomy,Agriculture & Forestry,History, Philosophy & Theology",False,False,East Lansing,MI,48824,Ingham,42.72476,-84.473639
1040,=104,Georgetown University,59.6,1040,56.7,66,39.3,185,84.6,131,74.4,96,47.3,439,United States,"15,726",8.6,15%,54 : 46,Georgetown University,"Law,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Architecture,Communication & Media Studies,Biological Sciences,Medicine & Dentistry,Sport Science,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Physics & Astronomy,Business & Management,Mathematics & Statistics,General Engineering,Sociology,Computer Science,Psychology",False,False,Washington,DC,20057,District of Columbia,38.908809,-77.073463
1080,108,Vanderbilt University,59.3,1080,50.1,99,37.3,201,96.7,33,73.5,100,29.8,694,United States,"12,161",3.1,9%,52 : 48,Vanderbilt University,"Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,General Engineering,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Law,Chemical Engineering,Mathematics & Statistics,Computer Science,Archaeology,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Sociology,Civil Engineering,Accounting & Finance,Other Health,Chemistry",False,False,Nashville,TN,37240,Davidson,36.14443,-86.804875
1160,=116,University of Colorado Boulder,58.6,1160,42.5,152,43.7,145,96.1,36,38.0,520,39.4,558,United States,"29,741",16.3,9%,44 : 56,University of Colorado Boulder,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Sociology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Law,General Engineering,Psychology,Geography",False,False,Boulder,CO,80309,Boulder,40.004415,-105.267061
1260,=126,Case Western Reserve University,57.9,1260,50.2,95,38.9,187,90.2,82,36.8,583,42.0,514,United States,"9,622",6.6,18%,48 : 52,Case Western Reserve University,"Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Accounting & Finance,Chemistry,Law,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Geography,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Education,Psychology,History, Philosophy & Theology,Biological Sciences,Other Health,Sociology,Mechanical & Aerospace Engineering",False,False,Cleveland,OH,44106,Cuyahoga,41.504095,-81.604893
1350,134,University of Florida,56.6,1350,53.6,76,48.1,116,72.9,257,65.7,137,35.2,616,United States,"44,911",17.0,9%,54 : 46,University of Florida,"Veterinary Science,Languages, Literature & Linguistics,Law,Geography,Psychology,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Medicine & Dentistry,Other Health,Economics & Econometrics,Sport Science,Chemical Engineering,Mathematics & Statistics,Business & Management,Chemistry,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Computer Science,General Engineering",False,False,Gainesville,FL,32611,Alachua,29.638248,-82.361195
1360,=135,Tufts University,56.5,1360,48.1,111,34.3,233,88.5,92,58.5,183,50.5,394,United States,"10,462",10.1,15%,54 : 46,Tufts University,"Other Health,Business & Management,Veterinary Science,Geography,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Computer Science,General Engineering,Psychology,Chemical Engineering,Architecture,Chemistry,Electrical & Electronic Engineering,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy,Education,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Agriculture & Forestry",False,False,Medford,MA,02155,Middlesex,42.406004,-71.120641
1440,143,University of Notre Dame,55.9,1440,50.2,96,40.7,165,80.2,180,37.4,555,48.2,428,United States,"11,821",13.5,10%,45 : 55,University of Notre Dame,"Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Education,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Civil Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,General Engineering,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Sociology,Architecture,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science",False,False,Notre Dame,IN,46556,St. Joseph,41.699587,-86.237075
1530,=151,University of Rochester,54.9,1530,43.4,142,32.4,256,89.4,87,38.9,493,58.9,301,United States,"9,628",4.5,28%,51 : 49,University of Rochester,"Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Sociology,Psychology,History, Philosophy & Theology,Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Chemistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Communication & Media Studies,Languages, Literature & Linguistics,General Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy",False,False,Rochester,NY,14627,Monroe,43.126397,-77.631202
1570,=156,University of Arizona,54.5,1570,42.9,150,42.2,155,83.2,141,35.6,641,41.7,520,United States,"37,023",12.8,9%,52 : 48,University of Arizona,"Physics & Astronomy,Chemical Engineering,Chemistry,Architecture,Other Health,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Archaeology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Education,Veterinary Science,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Biological Sciences,Geography,Economics & Econometrics,Law,Communication & Media Studies,Medicine & Dentistry,Electrical & Electronic Engineering",False,False,Tucson,AZ,85721,Pima,32.232866,-110.950086
1840,=182,University of Miami,51.7,1840,43.1,146,17.1,560,92.5,62,38.1,517,65.8,237,United States,"16,054",6.0,15%,51 : 49,University of Miami,"Architecture,Education,Computer Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,Biological Sciences,Psychology,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Electrical & Electronic Engineering,Mathematics & Statistics,Sociology,Other Health,Agriculture & Forestry,Accounting & Finance,Chemical Engineering,Sport Science,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mechanical & Aerospace Engineering,Geography,Chemistry",False,False,Coral Gables,FL,33146,Miami-Dade,25.720406,-80.27645
1990,=198,Brandeis University,50.8,1990,29.8,375,24.6,375,99.7,7,33.8,756,49.2,413,United States,"5,532",13.1,23%,55 : 45,Brandeis University,"Languages, Literature & Linguistics,Physics & Astronomy,Computer Science,Chemistry,Mathematics & Statistics,Biological Sciences,Art, Performing Arts & Design,Psychology,Agriculture & Forestry,Business & Management,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",False,False,Waltham,MA,02454,Middlesex,42.364947,-71.254716
2090,201-250,Boston College,46.3—50.4,2090,47.3,115,19.3,502,79.9,183,43.8,356,60.2,284,United States,"12,932",16.5,19%,55 : 45,Boston College,"Computer Science,Medicine & Dentistry,Physics & Astronomy,Psychology,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Economics & Econometrics,Biological Sciences,Art, Performing Arts & Design,Law,Chemistry,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Business & Management",False,False,Chestnut Hill,MA,02467,Middlesex,42.336203,-71.169242
2130,201-250,University of Delaware,46.3—50.4,2130,26.9,442,36.8,209,78.1,201,92.5,45,44.0,485,United States,"19,426",16.2,10%,56 : 44,University of Delaware,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Psychology,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Business & Management,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Agriculture & Forestry,Architecture,Computer Science,Sport Science,Sociology,Economics & Econometrics,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemical Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,History, Philosophy & Theology,Education,Chemistry,Communication & Media Studies",False,False,Newark,DE,19716,New Castle,39.678028,-75.752833
