rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,city,state,zip,county,latitude,longitude,year
1200,120,Georgetown University,60.1,1200,54.5,81,33.8,301,94.7,82,65.7,208,47.2,647,United States,"16,451",8.5,19%,55 : 45,Georgetown University,"Law,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Architecture,Communication & Media Studies,Biological Sciences,Medicine & Dentistry,Sport Science,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Physics & Astronomy,Business & Management,Mathematics & Statistics,General Engineering,Sociology,Computer Science,Psychology",False,False,Washington,DC,20057,District of Columbia,38.908809,-77.073463,2021
1210,=121,Case Western Reserve University,60.0,1210,47.3,124,41.0,209,95.0,78,40.7,640,53.5,532,United States,"10,774",9.1,23%,50 : 50,Case Western Reserve University,"Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Accounting & Finance,Chemistry,Law,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Geography,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Education,Psychology,History, Philosophy & Theology,Biological Sciences,Other Health,Sociology,Mechanical & Aerospace Engineering",False,False,Cleveland,OH,44106,Cuyahoga,41.504095,-81.604893,2021
1240,=124,University of Arizona,59.8,1240,47.6,120,51.7,115,85.6,196,50.3,373,40.4,811,United States,"39,635",18.0,9%,52 : 48,University of Arizona,"Physics & Astronomy,Chemical Engineering,Chemistry,Architecture,Other Health,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Archaeology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Education,Veterinary Science,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Biological Sciences,Geography,Economics & Econometrics,Law,Communication & Media Studies,Medicine & Dentistry,Electrical & Electronic Engineering",False,False,Tucson,AZ,85721,Pima,32.232866,-110.950086,2021
1250,=124,Rice University,59.8,1250,48.0,118,38.4,232,89.9,140,42.9,537,77.3,224,United States,"6,805",9.2,28%,42 : 58,Rice University,"Sociology,Business & Management,Computer Science,Sport Science,Architecture,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Other Health,Physics & Astronomy,History, Philosophy & Theology,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Education,Mathematics & Statistics,Chemistry,Chemical Engineering",False,False,Houston,TX,77005,Harris,29.716218,-95.404977,2021
1320,=131,University of Colorado Boulder,58.9,1320,43.8,162,45.9,153,91.3,118,42.0,578,47.5,640,United States,"34,481",16.1,11%,44 : 56,University of Colorado Boulder,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Sociology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Law,General Engineering,Psychology,Geography",False,False,Boulder,CO,80309,Boulder,40.004415,-105.267061,2021
1480,=147,University of Rochester,57.8,1480,45.4,146,35.2,285,91.2,119,41.4,612,69.8,303,United States,"10,017",4.9,34%,49 : 51,University of Rochester,"Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Sociology,Psychology,History, Philosophy & Theology,Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Chemistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Communication & Media Studies,Languages, Literature & Linguistics,General Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy",False,False,Rochester,NY,14627,Monroe,43.126397,-77.631202,2021
1520,=152,University of Florida,57.4,1520,54.2,84,60.4,77,61.9,519,56.1,298,40.5,806,United States,"46,632",16.1,9%,56 : 44,University of Florida,"Veterinary Science,Languages, Literature & Linguistics,Law,Geography,Psychology,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Medicine & Dentistry,Other Health,Economics & Econometrics,Sport Science,Chemical Engineering,Mathematics & Statistics,Business & Management,Chemistry,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Computer Science,General Engineering",False,False,Gainesville,FL,32611,Alachua,29.638248,-82.361195,2021
1570,=155,Tufts University,57.3,1570,46.7,130,33.0,317,95.5,71,38.5,768,50.0,591,United States,"11,024",9.7,16%,55 : 45,Tufts University,"Other Health,Business & Management,Veterinary Science,Geography,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Computer Science,General Engineering,Psychology,Chemical Engineering,Architecture,Chemistry,Electrical & Electronic Engineering,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy,Education,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Agriculture & Forestry",False,False,Medford,MA,02155,Middlesex,42.406004,-71.120641,2021
1690,169,University of Alabama at Birmingham,56.2,1690,38.4,243,35.5,277,97.4,42,78.6,126,38.4,866,United States,"18,211",17.3,6%,63 : 37,University of Alabama at Birmingham,"Mechanical & Aerospace Engineering,Computer Science,Chemistry,Business & Management,Civil Engineering,Sociology,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Accounting & Finance,Chemical Engineering,Biological Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Sport Science,Languages, Literature & Linguistics,Physics & Astronomy,Other Health,Communication & Media Studies,Geography,Psychology,General Engineering",False,False,Birmingham,AL,35294,Jefferson,33.50223,-86.80917,2021
1720,=170,University of Notre Dame,56.0,1720,52.1,95,45.5,156,71.5,379,38.1,797,57.3,468,United States,"12,149",10.9,12%,46 : 54,University of Notre Dame,"Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Education,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Civil Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,General Engineering,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Sociology,Architecture,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science",False,False,Notre Dame,IN,46556,St. Joseph,41.699587,-86.237075,2021
1880,=187,George Washington University,54.9,1880,46.9,127,33.3,310,85.8,194,34.4,1209,55.9,488,United States,"23,788",13.4,17%,60 : 40,George Washington University,"Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Archaeology,Other Health,Physics & Astronomy,Medicine & Dentistry,General Engineering,Art, Performing Arts & Design,Education,Sport Science,Economics & Econometrics,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Business & Management,Law,Communication & Media Studies,Computer Science,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Architecture,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Geography",False,False,Washington,DC,20052,District of Columbia,38.899096,-77.046277,2021
2070,201–250,Brandeis University,50.6–54.2,2070,28.1,536,24.4,515,99.9,11,34.7,1150,55.8,490,United States,"5,346",12.7,27%,58 : 42,Brandeis University,"Languages, Literature & Linguistics,Physics & Astronomy,Computer Science,Chemistry,Mathematics & Statistics,Biological Sciences,Art, Performing Arts & Design,Psychology,Agriculture & Forestry,Business & Management,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",False,False,Waltham,MA,02454,Middlesex,42.364947,-71.254716,2021
2180,201–250,Howard University,50.6–54.2,2180,43.9,161,17.0,784,99.5,21,33.3,1518,35.0,945,United States,"8,766",9.3,8%,67 : 33,Howard University,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sport Science,Chemical Engineering,Civil Engineering,Psychology,Sociology,Other Health,Biological Sciences,General Engineering,Chemistry,Art, Performing Arts & Design,Computer Science,Law,Medicine & Dentistry,History, Philosophy & Theology,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Architecture,Business & Management,Mathematics & Statistics,Education",False,False,Washington,DC,20059,District of Columbia,38.920739,-77.019478,2021
